13 45
4 3 -1337348914
10 4 -1337348914
2 1 -1337348914
7 4 -1337348914
4 3 -1337348914
4 1 -1337348914
2 4 -111659229
7 3 -111659229
1 9 -111659229
3 4 -111659229
7 7 -111659229
6 4 -111659229
9 24
5 3 648795751
8 6 648795751
1 2 648795751
7 2 648795751
7 1 648795751
1 9 648795751
1 2 648795751
1 2 648795751
9 5 648795751
5 5 648795751
5 9 648795751
1 1 648795751
4 1 648795751
8 2 648795751
2 1 648795751
5 9 648795751
1 1 648795751
4 1 648795751
9 1 648795751
1 4 648795751
1 1 648795751
3 8 648795751
9 2 648795751
1 8 648795751
10 5
4 9 -882495933
10 2 -882495933
7 3 -882495933
9 10 -882495933
6 2 -882495933
11 52
8 10 376134710
1 6 376134710
10 9 376134710
5 6 376134710
4 11 376134710
4 8 376134710
9 4 376134710
9 9 376134710
9 3 376134710
4 7 376134710
10 6 376134710
6 9 376134710
2 11 376134710
8 11 376134710
9 2 376134710
9 5 376134710
6 10 376134710
10 2 376134710
5 1 376134710
7 6 376134710
9 8 376134710
2 6 376134710
11 8 376134710
4 6 376134710
9 5 376134710
1 7 376134710
10 4 678634498
2 10 678634498
7 10 678634498
11 4 678634498
1 3 678634498
11 8 678634498
4 2 678634498
8 8 678634498
8 3 678634498
2 7 678634498
9 11 678634498
4 1 678634498
5 1 678634498
3 4 678634498
7 1 678634498
5 11 678634498
7 6 678634498
7 2 678634498
3 6 678634498
4 3 678634498
7 1 678634498
11 8 678634498
3 5 678634498
3 8 678634498
6 4 678634498
3 3 678634498
11 43
4 3 140487980
1 11 140487980
8 5 140487980
6 3 140487980
5 8 140487980
6 8 140487980
8 1 140487980
6 5 140487980
7 8 140487980
8 7 140487980
2 2 140487980
10 5 140487980
2 9 140487980
8 2 140487980
3 1 140487980
2 9 140487980
11 11 140487980
6 7 140487980
4 11 140487980
7 8 140487980
5 1 140487980
2 11 140487980
11 8 140487980
4 4 140487980
2 9 140487980
10 4 140487980
8 6 28584693
3 2 28584693
10 3 28584693
2 9 28584693
9 1 28584693
8 4 28584693
5 10 28584693
1 9 28584693
6 6 28584693
10 8 28584693
5 7 28584693
2 6 28584693
10 3 28584693
2 8 28584693
4 9 28584693
11 9 28584693
7 3 28584693
2 71
1 1 -821420566
1 1 -821420566
2 1 -821420566
1 2 -821420566
2 1 -821420566
2 2 -821420566
2 2 -821420566
1 2 -821420566
2 1 -821420566
2 2 -821420566
2 1 -821420566
2 1 -821420566
2 2 -821420566
2 1 -821420566
2 2 -821420566
1 2 -821420566
2 1 -821420566
2 2 -821420566
1 2 -821420566
1 1 -821420566
2 2 -821420566
2 1 -821420566
1 2 -821420566
2 2 -821420566
2 1 -821420566
1 2 -821420566
2 1 -1399354143
2 1 -1399354143
1 1 -1399354143
2 1 -1399354143
2 2 -1399354143
1 2 -1399354143
1 2 -1399354143
1 1 -1399354143
2 1 -1399354143
2 1 -1399354143
1 2 -1399354143
1 1 -1399354143
1 2 -1399354143
1 2 -1399354143
1 2 -1399354143
2 1 -1399354143
1 1 -1399354143
1 1 -1399354143
2 1 -1399354143
2 1 -1399354143
2 2 -1399354143
2 2 -1399354143
1 1 -1399354143
2 2 -1399354143
1 1 -1399354143
1 1 -1399354143
2 1 1900313298
2 2 1900313298
1 1 1900313298
1 2 1900313298
1 1 1900313298
1 1 1900313298
2 2 1900313298
1 1 1900313298
2 2 1900313298
2 2 1900313298
1 1 1900313298
2 2 1900313298
2 2 1900313298
2 2 1900313298
2 1 1900313298
2 1 1900313298
1 2 1900313298
2 1 1900313298
2 2 1900313298
3 80
1 1 -1794297663
1 1 -1794297663
1 1 -1794297663
3 1 -1794297663
1 3 -1794297663
3 3 -1794297663
1 3 -1794297663
1 2 -1794297663
2 1 -1794297663
1 1 -1794297663
1 2 -1794297663
3 2 -1794297663
1 3 -1794297663
3 2 -1794297663
3 1 -1794297663
2 1 -1794297663
1 3 -1794297663
2 2 -1794297663
2 2 -1794297663
3 3 -1794297663
2 2 -1794297663
2 3 -1794297663
2 3 -1794297663
2 1 -1794297663
1 2 -1794297663
2 1 -1794297663
1 1 -1775127334
3 2 -1775127334
3 3 -1775127334
3 2 -1775127334
1 1 -1775127334
3 3 -1775127334
3 1 -1775127334
2 2 -1775127334
3 3 -1775127334
1 2 -1775127334
2 3 -1775127334
2 1 -1775127334
3 3 -1775127334
2 2 -1775127334
1 2 -1775127334
3 2 -1775127334
1 3 -1775127334
1 3 -1775127334
1 3 -1775127334
2 1 -1775127334
1 1 -1775127334
3 3 -1775127334
1 1 -1775127334
2 2 -1775127334
1 3 -1775127334
1 3 -1775127334
3 3 1392633831
2 3 1392633831
1 2 1392633831
3 1 1392633831
1 3 1392633831
2 1 1392633831
3 2 1392633831
1 1 1392633831
2 2 1392633831
2 3 1392633831
2 3 1392633831
3 1 1392633831
1 1 1392633831
1 1 1392633831
1 3 1392633831
1 2 1392633831
3 2 1392633831
1 3 1392633831
3 3 1392633831
2 3 1392633831
3 3 1392633831
1 2 1392633831
1 3 1392633831
1 3 1392633831
1 3 1392633831
2 2 1392633831
2 3 -434620454
3 3 -434620454
8 57
1 7 1878012237
8 6 1878012237
7 5 1878012237
1 7 1878012237
8 6 1878012237
3 7 1878012237
4 2 1878012237
3 5 1878012237
1 8 1878012237
6 8 1878012237
7 5 1878012237
2 6 1878012237
6 6 1878012237
7 4 1878012237
5 7 1878012237
2 3 1878012237
2 1 1878012237
8 1 1878012237
5 8 1878012237
7 4 1878012237
5 1 1878012237
2 8 1878012237
3 5 1878012237
4 3 1878012237
4 2 1878012237
2 2 1878012237
6 3 -1422887998
1 5 -1422887998
6 5 -1422887998
4 8 -1422887998
7 5 -1422887998
8 6 -1422887998
5 5 -1422887998
6 3 -1422887998
8 2 -1422887998
4 2 -1422887998
2 6 -1422887998
6 5 -1422887998
8 1 -1422887998
6 2 -1422887998
2 3 -1422887998
4 8 -1422887998
6 4 -1422887998
5 3 -1422887998
1 8 -1422887998
2 7 -1422887998
4 2 -1422887998
5 1 -1422887998
6 2 -1422887998
3 5 -1422887998
3 6 -1422887998
6 4 -1422887998
3 3 -563266464
3 6 -563266464
4 4 -563266464
1 7 -563266464
4 6 -563266464
6 48
5 6 733072640
5 3 733072640
6 6 733072640
6 5 733072640
6 3 733072640
6 4 733072640
6 3 733072640
2 6 733072640
5 5 733072640
2 2 733072640
4 2 733072640
2 1 733072640
3 4 733072640
2 4 733072640
4 4 733072640
1 1 733072640
6 5 733072640
1 3 733072640
2 1 733072640
5 2 733072640
1 5 733072640
5 6 733072640
5 6 733072640
6 3 733072640
2 5 733072640
2 4 733072640
4 3 126035875
5 4 126035875
1 2 126035875
1 2 126035875
6 4 126035875
4 1 126035875
5 4 126035875
1 3 126035875
5 1 126035875
5 1 126035875
4 3 126035875
4 1 126035875
3 4 126035875
5 4 126035875
1 2 126035875
5 2 126035875
5 3 126035875
3 6 126035875
2 4 126035875
5 2 126035875
5 6 126035875
2 3 126035875
15 70
7 1 -2092940860
14 13 -2092940860
5 13 -2092940860
13 10 -2092940860
6 8 -2092940860
1 13 -2092940860
6 8 -2092940860
7 12 -2092940860
2 14 -2092940860
10 10 -2092940860
13 11 -2092940860
8 2 -2092940860
12 7 -2092940860
8 14 -2092940860
10 14 -2092940860
6 12 -2092940860
7 11 -2092940860
9 11 -2092940860
1 13 -2092940860
12 6 -2092940860
5 12 -2092940860
10 3 -2092940860
12 1 -2092940860
6 5 -2092940860
6 15 -2092940860
15 4 -2092940860
2 14 -1701183341
5 5 -1701183341
3 6 -1701183341
10 1 -1701183341
3 1 -1701183341
11 3 -1701183341
3 11 -1701183341
1 15 -1701183341
8 12 -1701183341
3 2 -1701183341
14 14 -1701183341
9 4 -1701183341
4 15 -1701183341
10 10 -1701183341
10 12 -1701183341
8 13 -1701183341
9 4 -1701183341
9 12 -1701183341
10 4 -1701183341
12 12 -1701183341
11 14 -1701183341
14 14 -1701183341
2 6 -1701183341
5 9 -1701183341
3 7 -1701183341
11 8 -1701183341
13 4 -783115488
10 13 -783115488
2 4 -783115488
1 9 -783115488
9 10 -783115488
4 2 -783115488
13 13 -783115488
12 1 -783115488
1 8 -783115488
14 7 -783115488
13 15 -783115488
12 2 -783115488
9 6 -783115488
15 11 -783115488
14 12 -783115488
6 9 -783115488
12 1 -783115488
6 5 -783115488
11 57
11 6 1474458777
2 1 1474458777
2 11 1474458777
11 2 1474458777
5 8 1474458777
5 10 1474458777
5 5 1474458777
9 4 1474458777
10 5 1474458777
5 8 1474458777
2 10 1474458777
1 7 1474458777
1 7 1474458777
11 6 1474458777
8 10 1474458777
9 6 1474458777
9 8 1474458777
7 10 1474458777
7 6 1474458777
10 11 1474458777
1 3 1474458777
8 3 1474458777
5 5 1474458777
6 3 1474458777
9 9 1474458777
8 8 1474458777
5 7 -711431283
2 3 -711431283
6 9 -711431283
10 3 -711431283
4 8 -711431283
9 8 -711431283
4 4 -711431283
2 11 -711431283
2 11 -711431283
11 9 -711431283
3 4 -711431283
11 6 -711431283
4 6 -711431283
1 1 -711431283
2 5 -711431283
7 4 -711431283
6 6 -711431283
6 11 -711431283
1 3 -711431283
3 4 -711431283
10 9 -711431283
11 11 -711431283
1 11 -711431283
9 2 -711431283
8 8 -711431283
10 8 -711431283
1 7 137121017
1 1 137121017
2 2 137121017
4 6 137121017
6 9 137121017
0 0
